P98,REG,231648,1,1515.01,4,10,11/12/2024,5,
P45,REG,231648,1,1515.01,4,10,11/12/2024,5,
P73,REG,231648,1,1515.01,4,3,11/12/2024,5,
L13,REG,231648,1,6501.60,4,2,11/12/2024,25,
E09,REG,231648,1,6501.60,4,6,11/12/2024,89,
E06,REG,231648,1,6501.60,4,2.5,11/12/2024,32,
E09,REG,231648,1,F,4,0.5,11/12/2024,89,
TR5,REG,231659,1,1000.9,4,4,11/12/2024,35,
T65,REG,231659,1,1000.9,4,4,11/12/2024,3,
P91,REG,231659,1,1001,4,5,11/12/2024,5,
P86,REG,231659,1,3030.05,4,5,11/12/2024,5,
S5,REG,231659,1,3030.05,4,5,11/12/2024,13,
P91,REG,231659,1,3030.06,4,5,11/12/2024,5,
P86,REG,231659,1,3030.06,4,5,11/12/2024,5,
S5,REG,231659,1,3030.06,4,5,11/12/2024,13,
T51,REG,231664,1,1000,4,10,11/12/2024,2,
DT10,REG,231664,1,1000.9,4,10.5,11/12/2024,25,
P101,REG,231664,1,1001,4,11,11/12/2024,5,
P92,REG,231664,1,2000.16,4,5,11/12/2024,5,
S16,REG,231664,1,2000.16,4,4,11/12/2024,13,
P54,REG,231664,1,6465,4,10,11/12/2024,5,
L5,REG,231664,1,6465,4,6,11/12/2024,25,
E25,REG,231664,1,6465,4,6,11/12/2024,65,
E16,REG,231664,1,6465,4,4,11/12/2024,32,
HM6,REG,231664,1,6465,4,4,11/12/2024,25,
P92,REG,231664,1,7020.04,4,5,11/12/2024,5,
S16,REG,231664,1,7020.04,4,4,11/12/2024,13,
C5,REG,231664,1,7020.04,4,3,11/12/2024,4,
P50,REG,231671,1,1501.01,4,2,11/12/2024,5,
T70,REG,231671,1,1501.01,4,2,11/12/2024,5,
P89,REG,231671,1,1515.01,4,10,11/12/2024,5,
T64,REG,231671,1,1515.01,4,10,11/12/2024,2,
P73,REG,231671,1,1515.01,4,1,11/12/2024,5,
P81,REG,231671,1,1515.01,4,8,11/12/2024,5,
E29,REG,231671,1,3502.03,4,2,11/12/2024,28,
E20,REG,231671,1,3502.03,4,1,11/12/2024,32,
E20,REG,231671,1,9011,4,2,11/12/2024,32,
P76,REG,231675,1,1001,4,10,11/12/2024,5,
P63,REG,231675,1,3040.04,4,3,11/12/2024,5,
P63,REG,231675,1,3155,4,2,11/12/2024,5,
P63,REG,231675,1,3180.1,4,5,11/12/2024,5,
P42,REG,241676,1,9004A,4,10,11/12/2024,5,
DT12,REG,241676,1,9004A,4,6,11/12/2024,,
DT10,REG,241688,1,1000.9,4,4,11/12/2024,25,
T08,REG,241688,1,1000.9,4,1,11/12/2024,2,
P106,REG,241688,1,1001,4,9,11/12/2024,5,
RT6,REG,241688,1,2010.18,4,3,11/12/2024,50,
HS1,REG,241688,1,2010.18,4,3,11/12/2024,5,
UV15,REG,241688,1,2010.18,4,1,11/12/2024,3,
T73,REG,241688,1,2010.18,4,2,11/12/2024,5,
E27,REG,241693,1,4114.08,4,9,11/12/2024,75,
P78,REG,241693,1,4114.08,4,3,11/12/2024,5,
P51,REG,241693,1,4114.08,4,3,11/12/2024,5,
P67,REG,241693,1,4114.08,4,3,11/12/2024,5,
W13,REG,241693,1,4114.08,4,9,11/12/2024,,
C5,REG,241693,1,4114.08,4,5,11/12/2024,4,
DR1,REG,241693,1,4114.08,4,1.5,11/12/2024,121,
P90,REG,241700,1,1001,4,10,11/12/2024,5,
P102,REG,241701,1,1000,4,5,11/12/2024,5,
P95,REG,241701,1,1000,4,5,11/12/2024,5,
DT12,REG,241701,1,1000.9,4,3,11/12/2024,25,
T33,REG,241701,1,1000.9,4,3,11/12/2024,10,
P72,REG,241701,1,1001,4,10,11/12/2024,5,
P48,REG,241701,1,14.1,4,9,11/12/2024,5,
D4,REG,241701,1,14.1,4,2,11/12/2024,28,
E37,REG,241701,1,14.1,4,6,11/12/2024,40,
R1,REG,241701,1,14.1,4,2,11/12/2024,6,
E32,REG,241701,1,14.1,4,9,11/12/2024,32,
RT1,REG,241701,1,14.1,4,5,11/12/2024,44,
DT10,REG,241701,1,9003,4,7,11/12/2024,25,
T15,REG,241712,1,1000,4,10,11/12/2024,5,
TR9,REG,241712,1,1000.9,4,7,11/12/2024,35,
T60,REG,241712,1,1000.9,4,7,11/12/2024,2,
P82,REG,241712,1,1001,4,2,11/12/2024,5,
E35,REG,241712,1,2020.09,4,3,11/12/2024,32,
E35,REG,241712,1,2030.13,4,1,11/12/2024,32,
RT3,REG,241712,1,2030.13,4,1,11/12/2024,50,
E34,REG,241712,1,2030.29,4,1,11/12/2024,28,
S2,REG,241712,1,2030.29,4,1,11/12/2024,13,
E35,REG,241712,1,5003,4,2,11/12/2024,32,
P79,REG,241715,1,9001,4,10,11/12/2024,5,
P53,REG,241716,1,1515.01,4,1,11/12/2024,5,
DT9,REG,241716,1,2720.90,4,3,11/12/2024,25,
E23,REG,241716,1,2720.90,4,1,11/12/2024,28,
S15,REG,241716,1,2720.90,4,4,11/12/2024,13,
PV7,REG,241716,1,2720.90,4,6,11/12/2024,,
R7,REG,241716,1,2720.90,4,6,11/12/2024,12,
P73,REG,901,1,5-SHOP,4,5,11/12/2024,5,
P81,REG,901,1,5-SHOP,4,2,11/12/2024,5,
P83,REG,221578,1,1001,4,10,11/13/2024,5,
P98,REG,231648,1,1515.01,4,10,11/13/2024,5,
P45,REG,231648,1,1515.01,4,10,11/13/2024,5,
P73,REG,231648,1,1515.01,4,2.5,11/13/2024,5,
P50,REG,231648,1,2604.50,4,4,11/13/2024,5,
T70,REG,231648,1,2604.50,4,4,11/13/2024,5,
L13,REG,231648,1,6501.60,4,3,11/13/2024,25,
E09,REG,231648,1,6501.60,4,7,11/13/2024,89,
E39,REG,231648,1,6501.60,4,3,11/13/2024,65,
L13,REG,231648,1,9007,4,1,11/13/2024,25,
P91,REG,231659,1,1001,4,5,11/13/2024,5,
P91,REG,231659,1,3030.05,4,5,11/13/2024,5,
P86,REG,231659,1,3030.05,4,10,11/13/2024,5,
S5,REG,231659,1,3030.05,4,5,11/13/2024,13,
T51,REG,231664,1,1000,4,10,11/13/2024,2,
TR5,REG,231664,1,1000.9,4,3,11/13/2024,35,
T65,REG,231664,1,1000.9,4,3,11/13/2024,3,
P101,REG,231664,1,1001,4,11,11/13/2024,5,
P92,REG,231664,1,3130.011,4,4,11/13/2024,5,
G38,REG,231664,1,3130.011,4,4,11/13/2024,,
W3,REG,231664,1,3130.011,4,4,11/13/2024,,
P54,REG,231664,1,3210.09,4,10,11/13/2024,5,
S16,REG,231664,1,6465,4,5,11/13/2024,13,
L5,REG,231664,1,6465,4,5,11/13/2024,25,
E25,REG,231664,1,6465,4,4,11/13/2024,65,
E16,REG,231664,1,6465,4,5,11/13/2024,32,
P92,REG,231664,1,7020.04,4,6,11/13/2024,5,
C5,REG,231664,1,7020.04,4,2,11/13/2024,4,
P89,REG,231671,1,1515.01,4,10,11/13/2024,5,
T64,REG,231671,1,1515.01,4,10,11/13/2024,2,
P73,REG,231671,1,1515.01,4,0.5,11/13/2024,5,
P81,REG,231671,1,1515.01,4,10,11/13/2024,5,
E20,REG,231671,1,3502.03,4,2,11/13/2024,32,
E29,REG,231671,1,9011,4,2,11/13/2024,28,
P76,REG,231675,1,1001,4,10,11/13/2024,5,
P63,REG,231675,1,3040.01,4,10,11/13/2024,5,
P42,REG,241676,1,9004A,4,10,11/13/2024,5,
DT12,REG,241676,1,9004A,4,5,11/13/2024,,
T33,REG,241676,1,9004A,4,3,11/13/2024,10,
P106,REG,241688,1,1001,4,9,11/13/2024,5,
HS1,REG,241688,1,2010.18,4,0.5,11/13/2024,5,
T73,REG,241688,1,2010.18,4,1.5,11/13/2024,5,
T27,REG,241688,1,2010.18,4,2.5,11/13/2024,2,
E30,REG,241688,1,2010.18,4,4.5,11/13/2024,30,
C5,REG,241693,1,4114.08,4,5,11/13/2024,4,
E27,REG,241693,1,4114.08,4,9,11/13/2024,75,
P78,REG,241693,1,4114.08,4,3,11/13/2024,5,
P51,REG,241693,1,4114.08,4,3,11/13/2024,5,
W13,REG,241693,1,4114.08,4,9,11/13/2024,,
P67,REG,241693,1,4114.08,4,3,11/13/2024,5,
TR6,REG,241694,1,1000.9,4,10,11/13/2024,35,
P90,REG,241700,1,1001,4,10,11/13/2024,5,
DT12,REG,241701,1,1000,4,2,11/13/2024,25,
T33,REG,241701,1,1000,4,2,11/13/2024,10,
DT12,REG,241701,1,1000.9,4,3,11/13/2024,25,
T33,REG,241701,1,1000.9,4,2,11/13/2024,10,
P102,REG,241701,1,1001,4,9,11/13/2024,5,
P72,REG,241701,1,1001,4,10,11/13/2024,5,
P48,REG,241701,1,14.1,4,9,11/13/2024,5,
D4,REG,241701,1,14.1,4,1,11/13/2024,28,
E37,REG,241701,1,14.1,4,3,11/13/2024,40,
R1,REG,241701,1,14.1,4,1,11/13/2024,6,
E18,REG,241701,1,14.1,4,9,11/13/2024,32,
RT1,REG,241701,1,14.1,4,3,11/13/2024,44,
E37,REG,241701,1,14.3,4,3,11/13/2024,40,
R1,REG,241701,1,14.3,4,1,11/13/2024,6,
RT1,REG,241701,1,14.3,4,3,11/13/2024,44,
P95,REG,241701,1,17.1,4,9,11/13/2024,5,
E32,REG,241701,1,17.1,4,5,11/13/2024,32,
T15,REG,241712,1,1000,4,10,11/13/2024,5,
DT10,REG,241712,1,1000.9,4,11,11/13/2024,25,
P82,REG,241712,1,1001,4,3,11/13/2024,5,
E34,REG,241712,1,2020.09,4,1,11/13/2024,28,
E35,REG,241712,1,2020.09,4,7,11/13/2024,32,
E35,REG,241712,1,5003,4,2,11/13/2024,32,
P79,REG,241715,1,9001,4,7,11/13/2024,5,
TR3,REG,241716,1,1501.01,4,2,11/13/2024,35,
T59,REG,241716,1,1501.01,4,2,11/13/2024,2,
P53,REG,241716,1,1515.01,4,1,11/13/2024,5,
P79,REG,241717,1,1501.01,4,3,11/13/2024,5,
P73,REG,241717,1,1515.01,4,1,11/13/2024,5,
P73,REG,901,1,5-SHOP,4,5,11/13/2024,5,
P83,REG,221578,1,1001,4,10,11/14/2024,5,
DT12,REG,221608,1,1000.9,4,1,11/14/2024,,
T33,REG,221608,1,1000.9,4,1,11/14/2024,10,
P45,REG,231648,1,1501.01,4,0.5,11/14/2024,5,
P45,REG,231648,1,1501.01,4,0.5,11/14/2024,5,
P98,REG,231648,1,1515.01,4,10,11/14/2024,5,
P45,REG,231648,1,1515.01,4,9,11/14/2024,5,
P73,REG,231648,1,1515.01,4,4,11/14/2024,5,
E39,REG,231648,1,1809.01,4,6,11/14/2024,65,
E09,REG,231648,1,6501.60,4,1,11/14/2024,89,
L13,REG,231648,1,9007,4,2,11/14/2024,25,
P91,REG,231659,1,1001,4,3.5,11/14/2024,5,
P86,REG,231659,1,3030.05,4,6,11/14/2024,5,
T51,REG,231664,1,1000,4,10,11/14/2024,2,
DT10,REG,231664,1,1000.9,4,7,11/14/2024,25,
DT10,REG,231664,1,1000.9,4,4,11/14/2024,25,
P101,REG,231664,1,1001,4,11,11/14/2024,5,
P92,REG,231664,1,3130.011,4,2,11/14/2024,5,
P54,REG,231664,1,6465,4,7,11/14/2024,5,
S16,REG,231664,1,6465,4,3,11/14/2024,13,
L5,REG,231664,1,6465,4,3,11/14/2024,25,
E25,REG,231664,1,6465,4,3,11/14/2024,65,
P92,REG,231664,1,7020.04,4,8,11/14/2024,5,
P54,REG,231664,1,7020.04,4,3,11/14/2024,5,
E25,REG,231664,1,7020.04,4,2,11/14/2024,65,
G38,REG,231664,1,7020.04,4,4,11/14/2024,,
W3,REG,231664,1,7020.04,4,4,11/14/2024,,
E16,REG,231664,1,7020.04,4,3,11/14/2024,32,
C5,REG,231664,1,7020.04,4,1,11/14/2024,4,
P89,REG,231671,1,1515.01,4,10,11/14/2024,5,
T64,REG,231671,1,1515.01,4,10,11/14/2024,2,
P81,REG,231671,1,1515.01,4,5,11/14/2024,5,
E29,REG,231671,1,9011,4,5,11/14/2024,28,
S11,REG,231671,1,9011,4,5,11/14/2024,13,
P76,REG,231675,1,1001,4,10,11/14/2024,5,
P63,REG,231675,1,3040.01,4,10,11/14/2024,5,
P42,REG,241676,1,9004A,4,10,11/14/2024,5,
DT12,REG,241688,1,1000,4,1,11/14/2024,,
T33,REG,241688,1,1000,4,1,11/14/2024,10,
E27,REG,241693,1,4114.08,4,9,11/14/2024,75,
P78,REG,241693,1,4114.08,4,3,11/14/2024,5,
P51,REG,241693,1,4114.08,4,3,11/14/2024,5,
W13,REG,241693,1,4114.08,4,9,11/14/2024,,
C5,REG,241693,1,4114.08,4,5,11/14/2024,4,
TR6,REG,241694,1,1000.9,4,10,11/14/2024,35,
P90,REG,241700,1,1001,4,10,11/14/2024,5,
DT12,REG,241701,1,1000.9,4,8,11/14/2024,25,
P102,REG,241701,1,1001,4,5,11/14/2024,5,
P95,REG,241701,1,1001,4,5,11/14/2024,5,
P72,REG,241701,1,1001,4,10,11/14/2024,5,
P48,REG,241701,1,14.1,4,9,11/14/2024,5,
D4,REG,241701,1,14.1,4,3,11/14/2024,28,
E37,REG,241701,1,14.1,4,2,11/14/2024,40,
R1,REG,241701,1,14.1,4,1,11/14/2024,6,
R1,REG,241701,1,14.1,4,1,11/14/2024,6,
E18,REG,241701,1,14.1,4,5,11/14/2024,32,
E32,REG,241701,1,17.1,4,3,11/14/2024,32,
P50,REG,241706,1,10.1501.01,4,1,11/14/2024,5,
T70,REG,241706,1,10.1501.01,4,1,11/14/2024,5,
P53,REG,241706,1,10.1515.03A,4,1,11/14/2024,5,
T15,REG,241712,1,1000,4,10,11/14/2024,5,
TR9,REG,241712,1,1000.9,4,3,11/14/2024,35,
T60,REG,241712,1,1000.9,4,3,11/14/2024,2,
DT10,REG,241712,1,1000.9,4,6,11/14/2024,25,
P82,REG,241712,1,1001,4,3,11/14/2024,5,
E35,REG,241712,1,2020.01,4,3,11/14/2024,32,
E35,REG,241712,1,2020.09,4,3,11/14/2024,32,
E35,REG,241712,1,5003,4,3,11/14/2024,32,
P73,REG,241716,1,1515.01,4,1,11/14/2024,5,
TR3,REG,241716,1,2720.90,4,3,11/14/2024,35,
T59,REG,241716,1,2720.90,4,3,11/14/2024,2,
P79,REG,241717,1,110.02,4,8,11/14/2024,5,
P73,REG,241717,1,1515.01,4,2,11/14/2024,5,
P73,REG,901,1,5-SHOP,4,4,11/14/2024,5,
P81,REG,901,1,5-SHOP,4,5,11/14/2024,5,
